"ID","Status","Comment"
"discoverer-any-order","not-impl","not implemented"
"discoverer-fetch-iteration","not-impl","not implemented"
"discoverer-fetch-links","not-impl","not implemented"
"discoverer-fetch-tdd","not-impl","not implemented"
"discoverer-may-multiple-intro","not-impl","not implemented"
"discoverer-merge-intros","not-impl","not implemented"
"discoverer-must-support-fetching","not-impl","not implemented"
"discoverer-must-support-intros","not-impl","not implemented"
"discoverer-td-identify","not-impl","not implemented"
"discoverer-termination","not-impl","not implemented"
"discoverer-track","not-impl","not implemented"
"exploration-directory-description-type","pass",
"exploration-link-description-link","not-impl","not implemented"
"exploration-link-description-type","not-impl","not implemented"
"exploration-secboot-401","not-impl","not implemented"
"exploration-secboot-auth","not-impl","not implemented"
"exploration-secboot-oauth2-flows","not-impl","not implemented"
"introduction-core-rd","not-impl","not implemented"
"introduction-core-rd-directory","not-impl","not implemented"
"introduction-core-rd-resource-type-directory","not-impl","not implemented"
"introduction-core-rd-resource-type-thing","not-impl","not implemented"
"introduction-did","not-impl","not implemented"
"introduction-did-service-endpoint","not-impl","not implemented"
"introduction-direct-directory-description","not-impl","not implemented"
"introduction-direct-thing-description","not-impl","not implemented"
"introduction-direct-url","not-impl","not implemented"
"introduction-dns-sd","not-impl","not implemented"
"introduction-dns-sd-service-name","not-impl","not implemented"
"introduction-dns-sd-service-name-directory","not-impl","not implemented"
"introduction-dns-sd-txt-record","not-impl","not implemented"
"introduction-well-known-path","not-impl","not implemented"
"introduction-well-known-thing-description","not-impl","not implemented"
"introduction-well-known-uri","not-impl","not implemented"
"priv-loc-anonymous-tds","not-impl","not implemented"
"priv-loc-disable-public-directories","not-impl","not implemented"
"priv-loc-explicit-care","not-impl","not implemented"
"priv-loc-explicit-strip","not-impl","not implemented"
"priv-loc-gen-ids-1","not-impl","not implemented"
"priv-loc-gen-ids-2","not-impl","not implemented"
"priv-query-anon","not-impl","not implemented"
"sec-self-proxy","not-impl","not implemented"
"sec-self-psk","not-impl","not implemented"
"sec-self-segment","not-impl","not implemented"
"sec-tdd-intro-if-multicast-required","not-impl","not implemented"
"sec-tdd-intro-limit-response-size","not-impl","not implemented"
"sec-tdd-intro-no-ext","not-impl","not implemented"
"sec-tdd-intro-no-multicast","not-impl","not implemented"
"sec-tdd-intro-no-observe","not-impl","not implemented"
"sec-tdd-intro-throttling","not-impl","not implemented"
"sec-tdd-limit-query-complexity","not-impl","not implemented"
"sec-tdd-query-watchdog","not-impl","not implemented"
"sec-tdd-throttle-queries","not-impl","not implemented"
"security-bootstrapping-endpoints","not-impl","not implemented"
"exploration-server-http-access-control","not-impl","not implemented"
"exploration-server-http-alternate-content","pass",
"exploration-server-http-alternate-language","not-impl","not implemented"
"exploration-server-http-head","pass",
"exploration-server-http-method","pass",
"exploration-server-http-resp","pass",
"exploration-server-http-secure","pass",
"tdd-http-missing-api-endpoint","pass",
"tdd-https","pass",
"tdd-notification-data-create-full","not-impl","not implemented"
"tdd-notification-data-delete-diff","not-impl","not implemented"
"tdd-notification-data-update-diff","not-impl","not implemented"
"tdd-notification-data-update-id","not-impl","not implemented"
"tdd-notification-filter-type","not-impl","not implemented"
"tdd-registrationinfo-expiry-config","pass",
"tdd-registrationinfo-expiry-purge","pass",
"tdd-registrationinfo-vocab-expires","pass",
"tdd-registrationinfo-vocab-retrieved","pass",
"tdd-registrationinfo-vocab-ttl","pass",
"tdd-search-large-tdds","pass",
"tdd-search-sparql-error","pass",
"tdd-search-sparql-federation-version","pass",
"tdd-search-sparql-resp-describe-construct","pass",
"tdd-search-sparql-version","pass",
"tdd-things-additional-representation","pass",
"tdd-things-list-pagination","pass",
"tdd-things-list-pagination-collection","pass",
"tdd-things-list-pagination-header-canonicallink","pass",
"tdd-things-list-pagination-header-nextlink","pass",
"tdd-things-list-pagination-header-nextlink-attr","pass",
"tdd-things-list-pagination-header-nextlink-base","pass",
"tdd-things-list-pagination-limit","pass",
"tdd-things-list-pagination-order","not-impl","not implemented"
"tdd-things-list-pagination-order-default","pass",
"tdd-things-list-pagination-order-nextlink","not-impl","not implemented"
"tdd-things-list-pagination-order-unsupported","pass",
"tdd-things-read-only-auth","not-impl","not implemented"
"tdd-validation-jsonschema","pass",
