ID,Status,Comment
tdd-anonymous-td-identifier,fail,failed:TestJSONPath/filter_anonymous failed:TestXPath/filter_anonymous failed:TestCreateAnonymousThing/registration_info failed:TestListThings/anonymous_td_id
tdd-anonymous-td-local-uuid,fail,failed:TestCreateAnonymousThing/location_header
tdd-http-error-response,fail,failed:TestCreateAnonymousThing/reject_invalid/response failed:TestCreateThing/reject_invalid/response
tdd-http-head,fail,failed:TestSPARQL/HEAD passed:TestListThings/HEAD
tdd-search-jsonpath,pass,passed:TestJSONPath/reject_bad_query/submit_request
tdd-search-jsonpath-method,pass,passed:TestJSONPath/reject_bad_query/submit_request
tdd-search-jsonpath-parameter,pass,passed:TestJSONPath/reject_bad_query/submit_request
tdd-search-jsonpath-response,fail,failed:TestJSONPath/reject_bad_query/status_code
tdd-search-sparql,fail,failed:TestSPARQL/search_using_GET failed:TestSPARQL/search_using_POST failed:TestSPARQL/federated_search_using_GET
tdd-search-sparql-federation,fail,failed:TestSPARQL/federated_search_using_GET
tdd-search-sparql-method-get,fail,failed:TestSPARQL/search_using_GET failed:TestSPARQL/federated_search_using_GET
tdd-search-sparql-method-post,fail,failed:TestSPARQL/search_using_POST
tdd-search-sparql-resp-select-ask,fail,failed:TestSPARQL/search_using_GET failed:TestSPARQL/search_using_POST failed:TestSPARQL/federated_search_using_GET
tdd-search-xpath,pass,passed:TestXPath/reject_bad_query/submit_request
tdd-search-xpath-method,pass,passed:TestXPath/reject_bad_query/submit_request
tdd-search-xpath-parameter,pass,passed:TestXPath/reject_bad_query/submit_request
tdd-search-xpath-response,fail,failed:TestXPath/reject_bad_query/status_code
tdd-things-create-anonymous-contenttype,pass,passed:TestCreateAnonymousThing/submit_request
tdd-things-create-anonymous-td,fail,failed:TestCreateAnonymousThing/result passed:TestCreateAnonymousThing/submit_request
tdd-things-create-anonymous-td-resp,fail,failed:TestCreateAnonymousThing/status_code failed:TestCreateAnonymousThing/location_header
tdd-things-create-known-contenttype,pass,passed:TestCreateThing/submit_request
tdd-things-create-known-td,fail,failed:TestCreateThing/result passed:TestCreateThing/submit_request
tdd-things-create-known-td-resp,fail,failed:TestCreateThing/status_code
tdd-things-create-known-vs-anonymous,pass,passed:TestCreateAnonymousThing/reject_PUT
tdd-things-crud,pass,passed:TestCreateAnonymousThing/submit_request passed:TestCreateThing/submit_request
tdd-things-crudl,fail,failed:TestListThings/submit_request passed:TestCreateAnonymousThing/submit_request passed:TestCreateThing/submit_request
tdd-things-default-representation,fail,failed:TestListThings/content_type
tdd-things-list-method,fail,failed:TestListThings/submit_request failed:TestListThings/status_code
tdd-things-list-only,fail,failed:TestListThings/submit_request
tdd-things-list-resp,fail,failed:TestListThings/content_type failed:TestListThings/payload failed:TestListThings/registration_info
tdd-validation-response,fail,failed:TestCreateAnonymousThing/reject_invalid/validation failed:TestCreateThing/reject_invalid/validation
tdd-validation-result,fail,failed:TestCreateAnonymousThing/reject_invalid/validation failed:TestCreateThing/reject_invalid/validation
tdd-validation-syntactic,fail,failed:TestCreateAnonymousThing/reject_invalid/status failed:TestCreateThing/reject_invalid/status
