"ID","Status","Comment","Assertion"
"tm-compose-instanceName","pass","",
"tm-compose-submodel","pass","",
"tm-context-requirement","pass","",
"tm-extend","pass","",
"tm-identification","pass","",
"tm-placeholder","pass","",
"tm-placeholder-retyping","pass","result of a merge",
"tm-placeholder-usecase","pass","",
"tm-placeholder-value","pass","",
"tm-protocol-security-restriction","pass","",
"tm-td-generation-inconsistencies","pass","",
"tm-tmOptional","pass","",
"tm-tmOptional-JSONPointer","pass","",
"tm-tmOptional-array","pass","",
"tm-tmOptional-resolver","pass","",
"tm-tmRef-usecase","not-impl","",
"tm-tmRef1","not-impl","",
"tm-versioning-2","pass","",
"bindings-requirements-scheme","pass","",
"bindings-server-accept","null","",
"client-data-schema","null","",
"client-data-schema-accept-extras","null","",
"client-data-schema-no-extras","null","",
"client-uri-template","null","",
"sec-body-name-json-pointer-creatable","null","",
"server-data-schema","null","",
"server-data-schema-extras","null","",
"server-uri-template","null","",
"td-context-default-language-direction-independence","pass","",
"td-default-alg","pass","",
"td-default-contentType","pass","",
"td-default-format","pass","",
"td-default-http-method","pass","all children passed",
"td-default-http-method_get","pass","",
"td-default-http-method_post","pass","",
"td-default-http-method_put","pass","",
"td-default-idempotent","pass","",
"td-default-in-apikey","pass","",
"td-default-in-basic","pass","",
"td-default-in-bearer","pass","",
"td-default-in-digest","pass","",
"td-default-op-actions","pass","",
"td-default-op-events","pass","",
"td-default-op-properties","pass","",
"td-default-qop","pass","",
"td-default-readOnly","pass","",
"td-default-safe","pass","",
"td-default-success","not-impl","being tracked with an issue",
"td-default-writeOnly","pass","",
"td-expectedResponse-contentType","null","",
"td-expectedResponse-default-contentType","null","",
"td-form-protocolbindings","null","",
"td-format-validation-other-values","null","",
"td-json-open","null","a child is not tested",
"td-json-open_accept-byte-order","null","",
"td-json-open_no-byte-order","null","",
"td-ns-multilanguage-content-negotiation","null","",
"td-ns-multilanguage-content-negotiation-no-multi","null","",
"td-ns-multilanguage-content-negotiation-optional","null","",
"td-processor-serialization","null","",
"td-security-binding","null","",
"td-security-in-query-over-uri","null","",
"td-security-no-extras","null","",
"td-security-no-secrets","null","",
"td-vocabulary-defaults","pass","",
"well-known-operation-types-only","null","",
"privacy-auth-users-only","null","",
"privacy-centralized-ids","null","",
"privacy-essential-metadata-only","null","",
"privacy-immutable-id-as-property","null","",
"privacy-mutable-identifiers","null","",
"privacy-temp-id-metadata","null","",
"sec-body-name-json-pointer-type","null","",
"sec-inj-no-intl-markup","null","",
"security-context-secure-fetch","null","",
"security-jsonld-expansion","null","",
"security-mutual-auth-td","null","",
"security-no-execution","null","",
"security-oauth-limits","null","",
"security-remote-context","null","",
"security-server-auth-td","null","",
"security-static-context","null","",
"td-context-ns-td10-namespacev10","null","",
"td-default-AdditionalResponseContentType","not-impl","",
"td-default-observable","pass","",
"td-processor-bidi-isolation","pass","",
"td-producer-mixed-direction","null","",
"td-security-extension","null","",
"td-text-direction-first-strong","pass","",
"td-text-direction-language-tag","pass","",
"thing-model-td-generation-processor-extends","fail","",
"thing-model-td-generation-processor-forms","not-impl","",
"thing-model-td-generation-processor-imports","fail","",
"thing-model-td-generation-processor-optional","pass","",
"thing-model-td-generation-processor-placeholder","pass","",
"thing-model-td-generation-processor-required","fail","",
"thing-model-td-generation-processor-type","pass","",
"tm-derivation-validity","null","needs feedback from implementors",
"tm-overwrite-interaction","pass","",
"tm-overwrite-types","pass","",
"tm-placeholder-replacement","pass","",
"tm-ref-recursive-extensions","pass","",
"tm-tmRef-overwrite-possibility","pass","",
"tm-tmRef-overwrite-process","pass","",
"tm-tmRef-overwrite-semantic-meaning","pass","",
"tm-tmRef2","not-impl","",
"tm-versioning-1","not-impl","",
