"ID","Status","Comment"
"bindings-requirements-scheme","pass",
"bindings-server-accept","pass",
"client-data-schema-accept-extras","null",
"client-data-schema-no-extras","null",
"client-data-schema","null",
"client-uri-template","null",
"privacy-auth-users-only","pass",
"privacy-centralized-ids","pass",
"privacy-essential-metadata-only","pass",
"privacy-id-metadata","fail",
"privacy-mutable-identifiers","pass",
"privacy-temp-id-metadata","null",
"sec-body-name-json-pointer-array","null",
"sec-body-name-json-pointer-creatable","null",
"sec-body-name-json-pointer","null",
"sec-body-name-json-pointer-type","null",
"sec-inj-no-intl-markup","pass",
"security-context-secure-fetch","null",
"security-jsonld-expansion","null",
"security-mutual-auth-td","null",
"security-no-execution","null",
"security-oauth-limits","null",
"security-remote-context","null",
"security-server-auth-td","null",
"security-static-context","null",
"sec-vuln-auto","null",
"server-data-schema-extras","pass",
"server-data-schema","pass",
"server-uri-template","pass",
"td-context-default-language-direction-independence","pass",
"td-context-ns-td10-namespace","null",
"td-default-AdditionalResponseContentType","null",
"td-default-alg","pass",
"td-default-contentType","pass",
"td-default-format","null",
"td-default-http-method_get","null",
"td-default-http-method_post","null",
"td-default-http-method_put","null",
"td-default-idempotent","pass",
"td-default-in-apikey","null",
"td-default-in-basic","null",
"td-default-in-bearer","pass",
"td-default-in-digest","null",
"td-default-observable","pass",
"td-default-op-actions","pass",
"td-default-op-events","null",
"td-default-op-properties","pass",
"td-default-qop","null",
"td-default-readOnly","pass",
"td-default-safe","null",
"td-default-success","pass",
"td-default-writeOnly","pass",
"td-expectedResponse-contentType","pass",
"td-expectedResponse-default-contentType","pass",
"td-format-validation-other-values","pass",
"td-form-protocolbindings","pass",
"td-json-open_accept-byte-order","null",
"td-json-open_no-byte-order","pass",
"td-json-open","pass",
"td-ns-multilanguage-content-negotiation-no-multi","null",
"td-ns-multilanguage-content-negotiation","null",
"td-ns-multilanguage-content-negotiation-optional","null",
"td-processor-serialization","pass",
"td-security-binding","pass",
"td-security-combo-deprecation","pass",
"td-security-extension","null",
"td-security-in-query-over-uri","null",
"td-security-in-uri-variable","null",
"td-security-no-extras","pass",
"td-security-no-secrets","pass",
"td-security-uri-variables-distinct","null",
"td-text-at-direction","null",
"td-text-direction-first-strong","null",
"td-text-direction-language-tag","null",
"td-vocab-hreflang--Link","null",
"td-vocabulary-defaults","pass",
"td-vocab-uriVariables--Thing","null",
"tm-compose-instanceName","null",
"tm-compose-name-collision","null",
"tm-compose-submodel","null",
"tm-overwrite-interaction","null",
"tm-overwrite-types","null",
"tm-placeholder-replacement","null",
"tm-placeholder-usecase","null",
"tm-protocol-security-restriction","null",
"tm-ref-recursive-extensions","null",
"tm-tmRef1","null",
"tm-tmRef2","null",
"tm-tmRef-overwrite-possibility","null",
"tm-tmRef-overwrite-process","null",
"tm-tmRef-overwrite-semantic-meaning","null",
"tm-tmRef-usecase","null",
"tm-tmRequired-resolver","null",
"tm-versioning","null",
"well-known-operation-types-only","pass",
