"Org",          "Name",                 "Active",   "Comment",                                               "Implementation"
"Hitachi",      "myRasPiLED",             "no",     "in my local network",                                   "impl-hitachi-node-red"
"Hitachi",      "ktom5stack",             "no",     "in my local network",                                   "impl-hitachi-cplusplus-m5stack"
"Siemens",      "Smart-Coffee-Machine",   "yes",    "http://plugfest.thingweb.io:8083/smart-coffee-machine", "impl-eclipse-node-wot"
"Siemens",      "TestThing",              "yes",    "http://plugfest.thingweb.io:8083/testthing",            "impl-eclipse-node-wot"
"Siemens",      "Multilanguage Counter",  "yes",    "http://plugfest.thingweb.io:8083/counter",              "impl-eclipse-node-wot"
"Intel",        "ocf",                    "no",     "older version of OCF",                                  "impl-intel-ocf-bridge"
"Intel",        "camera",                 "no",     "custom web service",                                    "impl-intel-nodejs"
"Intel",        "speaker",                "no",     "custom web service",                                    "impl-intel-nodejs"
"Intel",         "geolocation",           "no",     "template - not active service",                         "null"
"UNIBO",         "SoilSensor0",           "yes",    "A virtual soil sensor. see http://arces143100.arces.unibo.it/",        "impl-eclipse-node-wot"
"UNIBO",         "SoilSensor1",           "yes",    "A virtual soil sensor. see http://arces143100.arces.unibo.it/",        "impl-eclipse-node-wot"
"UNIBO",         "SoilSensor2",           "yes",    "A virtual soil sensor. see http://arces143100.arces.unibo.it/",        "impl-eclipse-node-wot"
"UNIBO",         "SoilSensor3",           "yes",    "A virtual soil sensor. see http://arces143100.arces.unibo.it/",        "impl-eclipse-node-wot"
"UNIBO",         "SoilSensor4",           "yes",    "A virtual soil sensor. see http://arces143100.arces.unibo.it/",        "impl-eclipse-node-wot" 
"UNIBO",         "Sprinkler0",            "yes",    "A virtual sprinkler actuator. see http://arces143100.arces.unibo.it/", "impl-eclipse-node-wot" 
"UNIBO",         "Sprinkler1",            "yes",    "A virtual sprinkler actuator. see http://arces143100.arces.unibo.it/", "impl-eclipse-node-wot" 
"UNIBO",         "Sprinkler2",            "yes",    "A virtual sprinkler actuator. see http://arces143100.arces.unibo.it/", "impl-eclipse-node-wot" 
"UNIBO",         "Sprinkler3",            "yes",    "A virtual sprinkler actuator. see http://arces143100.arces.unibo.it/", "impl-eclipse-node-wot" 
"UNIBO",         "gateway",               "no",     "An example of a gateway annotated with sosa",                          "impl-eclipse-node-wot" 
"UNIBO",         "gateway_control",       "no",     "The gateway control interface",                                        "impl-eclipse-node-wot" 
"UNIBO",         "imu_sensor",            "no",     "An example of an imu sensor annotated with sosa",                      "impl-eclipse-node-wot" 
"UNIBO",         "imu_control",           "no",     "The imu sensor control interface",                                     "impl-eclipse-node-wot" 
"Webthingsio",   "pressure",              "no",     "Virtual Barometric Pressure Sensor",                                   "impl-webthings-gateway" 
"Webthingsio",   "colorlight",            "no",     "Virtual On/Off Color Light",                                           "impl-webthings-gateway" 
