"ID","Status","Comment","Assertion"
"discoverer-must-support-intros","null","not testable with Assertion Tester","A Discoverer MUST support at least one Introduction mechanism."
"discoverer-must-support-fetching","null","not testable with Assertion Tester","A Discoverer MUST support fetching a TD from least one URL provided as part of the Introduction process."
"discoverer-may-multiple-intro","null","not testable with Assertion Tester","A Discoverer MAY support multiple invocations of the same Introduction mechanism."
"discoverer-merge-intros","null","not testable with Assertion Tester","A Discoverer MUST be able to merge URLs resulting from multiple Introduction mechanisms, multiple results from a single Introduction mechanism, and multiple Introduction invocations into a single set."
"discoverer-td-identify","null","not testable with Assertion Tester","A Discoverer MUST be able to identify whether a TD fetched from an Introduction URL is a Thing Description Directory or a Thing Link."
"discoverer-fetch-tdd","null","not testable with Assertion Tester","A Discoverer MAY fetch additional TDs from any Exploration mechanism described in its initial set of TDs (including, in particular, Thing Description Directories) and add them into the set of TD results."
"discoverer-fetch-links","null","not testable with Assertion Tester","A Discoverer MAY fetch source TDs from the targets of the links in a Thing Link described in its initial set of TDs and add them into the set of TD results."
"discoverer-fetch-iteration","null","not testable with Assertion Tester","A Discoverer MAY fetch additional TDs iteratively from any Thing Link or Exploration mechanism described in its set of TDs and add them into the set of TD results."
"discoverer-termination","null","not testable with Assertion Tester","A Discoverer MAY terminate fetching additional TDs at any point or for any reason."
"discoverer-any-order","null","not testable with Assertion Tester","A Discoverer MAY fetch additional TDs by following links or fetching additional TDs from Exploration mechanisms (e.g. TDDs) in any order."
"discoverer-track","null","not testable with Assertion Tester","A Discoverer MUST track which TDs describing links or Exploration mechanisms have already been fetched and avoid fetching duplicate results."
"introduction-direct-url","null","not testable with Assertion Tester","To obtain an URL of an exploration service, any mechanism that results in a single URL MAY be used."
"introduction-direct-thing-description","null","not testable with Assertion Tester","A request on all such URLs MUST result in a TD as prescribed in [[[#exploration-self]]]."
"introduction-direct-directory-description","null","not testable with Assertion Tester","If the URL references a Thing Description Directory, this MUST be the Directory Description of the Thing Description Directory."
"introduction-well-known-uri","null","not testable with Assertion Tester","A Thing or Thing Description Directory MAY use the Well-Known Uniform Resource Identifier [[RFC8615]] to advertise its presence."
"introduction-well-known-path","null","not testable with Assertion Tester","If the Thing or Thing Description Directory use the Well-Known Uniform Resource Identifier to advertise its presense, it MUST register its own Thing or Directory Description into the following path: /.well-known/wot-thing-description."
"introduction-well-known-thing-description","null","not testable with Assertion Tester","When a request is made at the above Well-Known URI, the server MUST return a Thing Description as prescribed in [[[#exploration-self]]]."
"introduction-dns-sd","null","not testable with Assertion Tester","A Thing or Thing Description Directory MAY use the DNS-Based Service Discovery (DNS-SD)[[RFC6763]]."
"introduction-dns-sd-service-name","null","not testable with Assertion Tester","The Service Name to indicate the Thing or Thing Description Directory MUST be _wot."
"introduction-dns-sd-service-name-directory","null","not testable with Assertion Tester","And the Service Name to indicate the Thing Description Directory MUST be _directory._sub._wot."
"introduction-dns-sd-txt-record","null","not testable with Assertion Tester","In addition, the following information MUST be included in the TXT record that is pointed to by the Service Instance Name:"
"introduction-core-rd","null","not testable with Assertion Tester","A Thing or Thing Description Directory MAY advertise its presence using the Constrained RESTful Environment (CoRE) Link Format [[RFC6690]]."
"introduction-core-rd-directory","null","not testable with Assertion Tester","A Thing or Thing Description Directory MAY use the CoRE Resource Directory [[CoRE-RD]] to register a link to the Thing or Directory Description."
"introduction-core-rd-resource-type-thing","null","not testable with Assertion Tester","The resource type (rt) of the Link that targets the Thing Description of the Thing MUST be wot.thing."
"introduction-core-rd-resource-type-directory","null","not testable with Assertion Tester","The resource type of the Link that targets the Directory Description of the Thing Description Directory MUST be wot.directory."
"introduction-did","null","not testable with Assertion Tester","A Thing or Thing Description Directory MAY advertise its presence using the Decentralized Identifier (DID) [[DID-CORE]]."
