"ID","Status","Comment"
"discoverer-any-order","skipped","not implemented"
"discoverer-fetch-iteration","skipped","not implemented"
"discoverer-fetch-links","skipped","not implemented"
"discoverer-fetch-tdd","skipped","not implemented"
"discoverer-may-multiple-intro","skipped","not implemented"
"discoverer-merge-intros","skipped","not implemented"
"discoverer-must-support-fetching","skipped","not implemented"
"discoverer-must-support-intros","skipped","not implemented"
"discoverer-td-identify","skipped","not implemented"
"discoverer-termination","skipped","not implemented"
"discoverer-track","skipped","not implemented"
"exploration-directory-description-type","skipped","not implemented"
"exploration-link-description-link","skipped","not implemented"
"exploration-link-description-type","skipped","not implemented"
"introduction-core-rd","skipped","not implemented"
"introduction-core-rd-directory","skipped","not implemented"
"introduction-core-rd-resource-type-directory","skipped","not implemented"
"introduction-core-rd-resource-type-thing","skipped","not implemented"
"introduction-did","skipped","not implemented"
"introduction-did-service-endpoint","skipped","not implemented"
"introduction-direct-directory-description","skipped","not implemented"
"introduction-direct-thing-description","skipped","not implemented"
"introduction-direct-url","skipped","not implemented"
"introduction-dns-sd","skipped","not implemented"
"introduction-dns-sd-service-name","skipped","not implemented"
"introduction-dns-sd-service-name-directory","skipped","not implemented"
"introduction-dns-sd-txt-record","skipped","not implemented"
"introduction-well-known-path","skipped","not implemented"
"introduction-well-known-thing-description","skipped","not implemented"
"introduction-well-known-uri","skipped","not implemented"
"self-http-access-control","skipped","not implemented"
"self-http-alternate-content","skipped","not implemented"
"self-http-head","pass",
"self-http-method","pass",
"self-http-resp","pass",
"self-http-secure","pass",
"tdd-http-error-response","pass",
"tdd-http-head","pass",
"tdd-http-missing-api-endpoint","pass",
"tdd-https","pass",
"tdd-notification","skipped","not implemented"
"tdd-notification-data","skipped","not implemented"
"tdd-notification-data-create-full","skipped","not implemented"
"tdd-notification-data-delete-diff","skipped","not implemented"
"tdd-notification-data-diff-unsupported","skipped","not implemented"
"tdd-notification-data-td-id","skipped","not implemented"
"tdd-notification-data-update-diff","skipped","not implemented"
"tdd-notification-data-update-id","skipped","not implemented"
"tdd-notification-event-id","skipped","not implemented"
"tdd-notification-event-types","skipped","not implemented"
"tdd-notification-filter-type","skipped","not implemented"
"tdd-notification-sse","skipped","not implemented"
"tdd-reg-additional-representation","skipped","not implemented"
"tdd-reg-anonymous-td-identifier","pass",
"tdd-reg-anonymous-td-local-id","pass",
"tdd-reg-create-anonymous-contenttype","pass","Contenttype : application/td+json not mandatory"
"tdd-reg-create-anonymous-td","pass",
"tdd-reg-create-anonymous-td-resp","pass",
"tdd-reg-create-known-contenttype","pass",
"tdd-reg-create-known-td","pass",
"tdd-reg-create-known-td-resp","pass",
"tdd-reg-create-known-vs-anonymous","pass",
"tdd-reg-crud","pass",
"tdd-reg-crudl","pass",
"tdd-reg-default-representation","pass",
"tdd-reg-delete","pass",
"tdd-reg-delete-resp","pass",
"tdd-reg-list-method","pass",
"tdd-reg-list-only","pass",
"tdd-reg-list-pagination","pass",
"tdd-reg-list-pagination-header-canonicallink","fail","no etag"
"tdd-reg-list-pagination-header-nextlink","pass",
"tdd-reg-list-pagination-header-nextlink-attr","pass",
"tdd-reg-list-pagination-header-nextlink-base","pass",
"tdd-reg-list-pagination-limit","pass",
"tdd-reg-list-pagination-order","skipped","not implemented"
"tdd-reg-list-pagination-order-default","skipped","not implemented"
"tdd-reg-list-pagination-order-nextlink","skipped","not implemented"
"tdd-reg-list-pagination-order-unsupported","fail",
"tdd-reg-list-resp","pass",
"tdd-reg-read-only-auth","skipped","not implemented"
"tdd-reg-retrieve","pass",
"tdd-reg-retrieve-resp","pass",
"tdd-reg-update","pass",
"tdd-reg-update-contenttype","pass","Contenttype : application/td+json not mandatory"
"tdd-reg-update-partial","pass",
"tdd-reg-update-partial-contenttype","pass","Contenttype :application/merge-patch+json not mandatory"
"tdd-reg-update-partial-mergepatch","pass",
"tdd-reg-update-partial-partialtd","pass",
"tdd-reg-update-partial-resp","fail","Returns 201"
"tdd-reg-update-resp","fail","Returns 201"
"tdd-registrationinfo-expiry-config","skipped","not implemented"
"tdd-registrationinfo-expiry-purge","pass",
"tdd-registrationinfo-vocab-created","pass",
"tdd-registrationinfo-vocab-expires","fail","we handle ttl only"
"tdd-registrationinfo-vocab-modified","pass",
"tdd-registrationinfo-vocab-retrieved","pass",
"tdd-registrationinfo-vocab-ttl","pass",
"tdd-search-large-tdds","pass",
"tdd-search-sparql","pass",
"tdd-search-sparql-error","pass",
"tdd-search-sparql-federation","pass",
"tdd-search-sparql-federation-imp","pass",
"tdd-search-sparql-method-get","pass",
"tdd-search-sparql-method-post","pass",
"tdd-search-sparql-resp-describe-construct","fail","wrong content-type"
"tdd-search-sparql-resp-select-ask","fail","wrong content-type"
"tdd-search-sparql-version","pass",
"tdd-validation-jsonschema","pass",
"tdd-validation-response","pass",
"tdd-validation-result","pass",
"tdd-validation-syntactic","pass",
