AssertionID,Status,Details
tdd-http-error-response,failed,failed:TestUpdateThing/reject_invalid/response failed:TestPatch/reject_invalid/response passed:TestCreateAnonymousThing/reject_invalid/response passed:TestCreateThing/reject_invalid/response
tdd-https,skipped,untested
tdd-notification-data,failed,failed:TestCreateEvent/create_event_subscriber/check_event_data failed:TestCreateEvent/create_event_with_diff_subscriber/check_event_data failed:TestCreateEvent/all_event_subscriber/check_event_data failed:TestUpdateEvent/update_event_subscriber/check_event_data failed:TestUpdateEvent/update_event_with_diff_subscriber/check_event_data failed:TestUpdateEvent/all_event_subscriber/check_event_data failed:TestDeleteEvent/delete_event_subscriber/check_event_data failed:TestDeleteEvent/delete_event_with_diff_subscriber/check_event_data failed:TestDeleteEvent/all_event_subscriber/check_event_data
tdd-notification-data-create-full,failed,failed:TestCreateEvent/create_event_with_diff_subscriber/check_event_data_create_full
tdd-notification-data-delete-diff,passed,passed:TestDeleteEvent/delete_event_with_diff_subscriber/check_event_data#01
tdd-notification-data-diff-unsupported,skipped,untested
tdd-notification-data-td-id,failed,failed:TestCreateEvent/create_event_subscriber/check_event_data_td_id failed:TestCreateEvent/create_event_with_diff_subscriber/check_event_data_td_id failed:TestCreateEvent/all_event_subscriber/check_event_data_td_id failed:TestUpdateEvent/update_event_subscriber/check_event_data_td_id failed:TestUpdateEvent/update_event_with_diff_subscriber/check_event_data_td_id failed:TestUpdateEvent/all_event_subscriber/check_event_data_td_id failed:TestDeleteEvent/delete_event_subscriber/check_event_data_td_id failed:TestDeleteEvent/delete_event_with_diff_subscriber/check_event_data_td_id failed:TestDeleteEvent/all_event_subscriber/check_event_data_td_id
tdd-notification-data-tdid,skipped,untested
tdd-notification-data-update-diff,failed,failed:TestUpdateEvent/update_event_with_diff_subscriber/check_event_data_update_diff
tdd-notification-data-update-id,failed,failed:TestUpdateEvent/update_event_with_diff_subscriber/check_event_data_td_id
tdd-notification-event-id,failed,failed:TestCreateEvent/create_event_subscriber/get_event_ID failed:TestCreateEvent/create_event_with_diff_subscriber/get_event_ID failed:TestCreateEvent/all_event_subscriber/get_event_ID failed:TestUpdateEvent/update_event_subscriber/get_event_ID failed:TestUpdateEvent/update_event_with_diff_subscriber/get_event_ID failed:TestUpdateEvent/all_event_subscriber/get_event_ID failed:TestDeleteEvent/delete_event_subscriber/get_event_ID failed:TestDeleteEvent/delete_event_with_diff_subscriber/get_event_ID failed:TestDeleteEvent/all_event_subscriber/get_event_ID
