"ID","Status","Comment"
"discoverer-any-order","null",
"discoverer-fetch-iteration","null",
"discoverer-fetch-links","null",
"discoverer-fetch-tdd","null",
"discoverer-may-multiple-intro","null",
"discoverer-merge-intros","null",
"discoverer-must-support-fetching","null",
"discoverer-must-support-intros","null",
"discoverer-td-identify","null",
"discoverer-termination","null",
"discoverer-track","null",
"exploration-directory-description-type","null",
"exploration-link-description-link","null",
"exploration-link-description-type","null",
"exploration-secboot-401","null",
"exploration-secboot-auth","null",
"exploration-secboot-oauth2-flows","null",
"introduction-core-rd","null",
"introduction-core-rd-directory","null",
"introduction-core-rd-resource-type-directory","null",
"introduction-core-rd-resource-type-thing","null",
"introduction-did","null",
"introduction-did-service-endpoint","null",
"introduction-direct-directory-description","null",
"introduction-direct-thing-description","null",
"introduction-direct-url","null",
"introduction-dns-sd","null",
"introduction-dns-sd-service-name","null",
"introduction-dns-sd-service-name-directory","null",
"introduction-dns-sd-txt-record","null",
"introduction-well-known-path","null",
"introduction-well-known-thing-description","null",
"introduction-well-known-uri","null",
"priv-loc-anonymous-tds","null",
"priv-loc-disable-public-directories","null",
"priv-loc-explicit-care","null",
"priv-loc-explicit-strip","null",
"priv-loc-gen-ids-1","null",
"priv-loc-gen-ids-2","null",
"priv-query-anon","null",
"sec-self-proxy","null",
"sec-self-psk","null",
"sec-self-segment","null",
"sec-tdd-intro-if-multicast-required","null",
"sec-tdd-intro-limit-response-size","null",
"sec-tdd-intro-no-ext","null",
"sec-tdd-intro-no-multicast","null",
"sec-tdd-intro-no-observe","null",
"sec-tdd-intro-throttling","null",
"sec-tdd-limit-query-complexity","null",
"sec-tdd-query-watchdog","null",
"sec-tdd-throttle-queries","null",
"security-bootstrapping-endpoints","null",
"exploration-server-http-access-control","null",
"exploration-server-http-alternate-content","null",
"exploration-server-http-alternate-language","null",
"exploration-server-http-head","null",
"exploration-server-http-method","null",
"exploration-server-http-resp","null",
"exploration-server-http-secure","null",
"tdd-http-missing-api-endpoint",fail,/search/sparql return 405
"tdd-https","null",assertion does not exist
"tdd-notification-data-create-full",pass,
"tdd-notification-data-delete-diff",pass,
"tdd-notification-data-update-diff",pass,
"tdd-notification-data-update-id",pass,
"tdd-notification-filter-type",pass,
"tdd-registrationinfo-expiry-config",fail,
"tdd-registrationinfo-expiry-purge",pass,
"tdd-registrationinfo-vocab-expires",pass,
"tdd-registrationinfo-vocab-retrieved",fail,
"tdd-registrationinfo-vocab-ttl",pass,
"tdd-search-large-tdds",fail,
"tdd-search-sparql-error",fail,
"tdd-search-sparql-federation-version",fail,
"tdd-search-sparql-resp-describe-construct",fail,
"tdd-search-sparql-version",fail,
"tdd-things-additional-representation",fail,
"tdd-things-list-pagination",pass,
"tdd-things-list-pagination-collection",fail,
"tdd-things-list-pagination-header-canonicallink",fail,
"tdd-things-list-pagination-header-nextlink",fail,
"tdd-things-list-pagination-header-nextlink-attr",fail,
"tdd-things-list-pagination-header-nextlink-base",fail,
"tdd-things-list-pagination-limit",pass,
"tdd-things-list-pagination-order",fail,
"tdd-things-list-pagination-order-default",pass,
"tdd-things-list-pagination-order-nextlink",fail,
"tdd-things-list-pagination-order-unsupported",fail,
"tdd-things-read-only-auth",pass,
"tdd-validation-jsonschema",pass,
