"ID","Status","Comment"
"bindings-requirements-scheme","null","Not checked yet"
"bindings-server-accept","pass",
"client-data-schema-accept-extras","null","n/a; not a consumer"
"client-data-schema-no-extras","null","n/a; not a consumer"
"client-data-schema","null","n/a; not a consumer"
"client-uri-template","null","n/a; not a consumer"
"privacy-auth-users-only","null","no auth checking, internal"
"privacy-centralized-ids","null","check"
"privacy-distributed-ids","null","check"
"privacy-essential-metadata-only","pass",
"privacy-id-metadata","null","check"
"privacy-mutable-identifiers","null","check"
"privacy-td-pii","null","not a personal device"
"privacy-temp-id-metadata","null","not a directory/not a temp id"
"sec-body-name-json-pointer-array","null",
"sec-body-name-json-pointer-creatable","null","feature not used"
"sec-body-name-json-pointer","null","feature not used"
"sec-body-name-json-pointer-type","null","feature not used"
"sec-inj-no-intl-markup","pass",
"sec-inj-sanitize","null","n/a"
"security-context-secure-fetch","null",
"security-jsonld-expansion","null",
"security-mutual-auth-td","null",
"security-no-execution","null",
"security-oauth-limits","null",
"security-remote-context","null",
"security-server-auth-td","null",
"security-static-context","null",
"security-update-contexts","null",
"sec-vuln-auto","null",
"server-data-schema-extras","null","feature not used"
"server-data-schema","pass",
"server-uri-template","pass",
"td-context-default-language-direction-heuristic","null","not in current editor's draft"
"td-context-default-language-direction-independence","null",
"td-context-default-language-direction-inference","null","not in current editor's draft"
"td-context-ns-multilanguage-text-direction-infer","null","not in current editor's draft"
"td-context-ns-td10-namespace","null",
"td-default-AdditionalResponseContentType","null",
"td-default-alg","null","feature not used"
"td-default-contentType","null","pass"
"td-default-format","null","feature not implemented"
"td-default-http-method_get","pass",
"td-default-http-method","null","parent"
"td-default-http-method_post","pass",
"td-default-http-method_put","null","feature not used"
"td-default-idempotent","null","pass"
"td-default-in-apikey","null","feature not used"
"td-default-in-basic","null","feature not used"
"td-default-in-bearer","null","feature not used"
"td-default-in-digest","null","feature not used"
"td-default-observable","pass",
"td-default-op-actions","pass",
"td-default-op-events","null","feature not used"
"td-default-op-properties","pass",
"td-default-qop","null","feature not used"
"td-default-readOnly","pass",
"td-default-safe","pass",
"td-default-success","null","feature not used"
"td-default-writeOnly","pass",
"td-expectedResponse-contentType","null","feature not used"
"td-expectedResponse-default-contentType","null","feature not used"
"td-format-validation-other-values","null","feature not used"
"td-form-protocolbindings","null","feature not used"
"td-json-open_accept-byte-order","null","not a consumer"
"td-json-open_no-byte-order","pass",
"td-ns-multilanguage-content-negotiation-no-multi","null","feature not used"
"td-ns-multilanguage-content-negotiation","null","feature not used"
"td-ns-multilanguage-content-negotiation-optional","null","feature not used"
"td-processor-serialization","null","not a processor"
"td-security-binding","pass","has nosec; other security schemes managed in proxy"
"td-security-combo-deprecation","pass",
"td-security-extension","null","feature not used"
"td-security-in-query-over-uri","null","feature not used"
"td-security-in-uri-variable","null","feature not used"
"td-security-no-extras","pass",
"td-security-no-secrets","pass",
"td-security-uri-variables-distinct","null","feature not used"
"td-text-at-direction","null","feature not used"
"td-text-direction-first-strong","null","not a consumer"
"td-text-direction-language-tag","null","not a consumer"
"td-vocab-hreflang--Link","null","feature not used"
"td-vocabulary-defaults","pass",
"td-vocab-uriVariables--Thing","null","feature not used"
"tm-compose-instanceName","null","feature not used"
"tm-compose-name-collision","null","feature not used"
"tm-compose-submodel","null","feature not used"
"tm-overwrite-interaction","null","feature not used"
"tm-overwrite-types","null","feature not used"
"tm-placeholder-replacement","null","feature not used"
"tm-placeholder-retyping","null","feature not used"
"tm-placeholder-usecase","null","feature not used"
"tm-protocol-security-restriction","null","feature not used"
"tm-ref-recursive-extensions","null","feature not used"
"tm-tmRef1","null","feature not used"
"tm-tmRef2","null","feature not used"
"tm-tmRef-overwrite-possibility","null","feature not used"
"tm-tmRef-overwrite-process","null","feature not used"
"tm-tmRef-overwrite-semantic-meaning","null","feature not used"
"tm-tmRef-usecase","null","feature not used"
"tm-tmRequired-resolver","null","feature not used"
"tm-versioning","null","feature not used"
"well-known-operation-types-only","pass",
